city,lat,long,population
Ladyzhyn,48.6667,29.2167,22682
Nadvirna,48.6333,24.5833,22447
Lyman,48.9861,37.8111,22315
Bilohorodka,50.4,30.2167,21367
Sukhodilsk,48.35,39.7167,21324
Sokal,50.4833,24.2833,20986
Liubotyn,49.9489,35.9306,20887
Kremenets,50.1081,25.7275,20837
Dolyna,48.9703,24.0108,20691
Henichesk,46.1769,34.7989,19869
Yahotyn,50.2569,31.7817,19613
Pidhorodne,48.5737,35.0966,19524
Balta,47.9361,29.6225,19353
Dolynska,48.1111,32.7648,19287
Kalynivka,49.4472,28.5231,18906
Polohy,47.4796,36.2611,18886
Piatykhatky,48.4126,33.7034,18845
Starobilsk,49.2667,38.9167,18796
Vovchansk,50.2881,36.9461,18644
Skadovsk,46.1167,32.9167,18482
Dniprorudne,47.3855,34.9879,18468
Svatove,49.4092,38.1619,18417
Amvrosiivka,47.7958,38.4801,18413
Korsun-Shevchenkivskyi,49.4261,31.2806,18401
Bolhrad,45.6855,28.6134,17400
Svalyava,48.5472,22.9861,17234
Zvenyhorodka,49.0833,30.9667,17078
Iziaslav,50.1167,26.8,16901
Vatutine,49.0167,31.0667,16888
Sudak,44.8514,34.9725,16756
Horodok,49.1667,26.5667,16516
Berezan,50.3197,31.47,16506
Bilohirsk,45.0544,34.6022,16428
Verkhivtseve,48.4812,34.2488,16364
Kotsyubyns’ke,50.4883,30.3331,16337
Hostomel,50.5692,30.2653,16190
Bar,49.0781,27.6831,16136
Ukrainka,50.15,30.7519,16056
Horodok,49.7822,23.6436,15993
Skvyra,49.7333,29.6833,15889
Yuvileine,48.5531,39.1742,15830
Ovruch,51.3244,28.8081,15795
Putyvl,51.3347,33.8686,15778
Vynnyky,49.8156,24.1297,15723
Ostroh,50.3333,26.5167,15642
Rakhiv,48.05,24.2167,15621
Bohodukhiv,50.1608,35.5164,15576
Bilopillya,51.1532,34.3025,15215
Tulchyn,48.6744,28.8497,15051
Vil’nyans’k,47.9445,35.4331,15044
Burshtyn,49.26,24.635,15039
Zmiiv,49.6878,36.3558,14848
Ochakiv,46.6186,31.5392,14705
Hulyaypole,47.6644,36.2632,14678
Radomyshl,50.4947,29.2333,14607
Stanytsia Luhanska,48.6667,39.4667,14543
Orikhiv,47.5677,35.7849,14479
Hola Prystan,46.5167,32.5167,14479
Zolote,48.6833,38.5167,14376
Lebedyn,50.5831,34.4823,14301
Kivertsi,50.8331,25.4614,14195
Nyzhnia Krynka,48.1144,38.1606,13927
Zhashkiv,49.25,30.1,13853
Zhovkva,50.0667,23.9667,13834
Horodyshche,49.2925,31.4581,13799
Apostolove,47.6595,33.717,13792
Talne,48.8863,30.7027,13558
Kaharlyk,49.8522,30.8092,13544
Zelenodolsk,47.5631,33.6524,13349
Nosivka,50.93,31.58,13310
Borodyanka,50.6439,29.9339,13230
Slobozhanske,48.5342,35.0749,13221
Vasylivka,47.4344,35.2808,13166
Izium,49.2238,37.2915,13108
Yavoriv,49.9469,23.3931,13057
Velykodolynske,46.3425,30.5653,13036
Tetiiv,49.3708,29.69,13015
Rozhyshche,50.9131,25.27,12953
Novhorod-Siverskyi,51.9833,33.2667,12862
Bershad,48.3728,29.5325,12795
Perehinske,48.8103,24.1819,12762
Kamianka-Dniprovska,47.4792,34.4232,12638
Shchastia,48.7381,39.2311,12629
Koriukivka,51.7833,32.25,12539
Buchach,49.0647,25.3872,12511
Kamin-Kashyrskyi,51.6242,24.9606,12489
Hnivan,49.0833,28.35,12433
Beryslav,46.8333,33.4167,12417
Vakhrusheve,48.1606,38.8389,12197
Uzyn,49.8242,30.4425,12147
Bilovodsk,49.1992,39.5756,12000
Mykhailivka 2,47.2717,35.2248,11949
Horodnia,51.8833,31.5833,11852
Ukrainsk,48.1,37.3667,11824
Baranivka,50.3,27.6667,11765
Ovidiopol,46.2667,30.4333,11741
Vasylkivka,48.2084,36.0253,11738
Nemyriv,48.9794,28.8439,11697
Prymorsk,46.7333,36.3596,11679
Mena,51.5167,32.2167,11670
Mala Vyska,48.65,31.6333,11614
Kalmiuske,47.6667,38.0667,11603
Lokhvytsya,50.361,33.2652,11485
Yakymivka,46.6967,35.1664,11481
Myronivka,49.65,30.9833,11478
Snovsk,51.8167,31.95,11390
Hirnyk,48.05,37.3667,11378
Illintsi,49.1,29.2,11270
Sosnivka,50.2946,24.2525,11058
Zhydachiv,49.3833,24.1333,10962
Rokytne,49.6897,30.4751,10938
Bobrynets,48.0578,32.1581,10898
Bobrovytsia,50.7333,31.3833,10894
Manevychi,51.2925,25.5503,10825
Hrebinka,50.118,32.4396,10805
Baryshivka,50.3703,31.3286,10783
Khrystynivka,48.8333,29.9667,10762
Ichnia,50.85,32.4,10709
Bolekhiv,49.0669,23.8514,10476
Lyuboml’,51.2158,24.0408,10466
Olevsk,51.2278,27.6481,10457
Ivankiv,50.9333,29.9,10439
Krasnoilsk,48.0167,25.5833,10351
Letychiv,49.3833,27.6167,10335
Verkhnodniprovsk,48.6561,34.3283,10314
Oster,50.9486,30.8811,10245
Novgorodskoye,48.3156,37.8839,10227
Borzna,51.2333,32.4167,10205
Shyroke,47.6882,33.2654,10202
Inkerman,44.6142,33.6083,10196
Tarashcha,49.55,30.5,10195
Radyvyliv,50.1333,25.25,10190
Korolevo,48.15,23.1333,10165
Teplodar,46.5036,30.3244,10148
Ratne,51.65,24.5333,9955
Sniatyn,48.45,25.5667,9942
Dubove,48.1781,23.8863,9938
Pereshchepyne,49.0179,35.3598,9931
Pokrovske,47.9853,36.2367,9910
Zinkiv,50.2081,34.3668,9856
Berezivka,47.2039,30.9125,9845
Kobeliaky,49.1474,34.1993,9841
Makariv,50.4667,29.8167,9836
Vesele,47.016,34.9124,9719
Khodoriv,49.41,24.3094,9605
Sofiivka,48.2683,38.1847,9597
Mizhhiria,48.5286,23.5019,9567
Bilozerka,46.6333,32.4333,9565
Velyka Dymerka,50.5928,30.9103,9554
Pohrebyshche,49.4869,29.2733,9525
Nyzhnohirskyi,45.4464,34.7344,9460
Bezliudivka,49.8694,36.2719,9436
Dubrovytsya,51.5667,26.5667,9424
Tysmenytsia,48.9008,24.8492,9287
Irshava,48.3172,23.0375,9276
Khotyn,48.5078,26.486,9262
Velykyi Bychkiv,47.9714,24.0047,9255
Valky,49.8386,35.6217,9235
Kalanchak,46.255,33.2906,9224
Obukhivka,48.5442,34.8664,9175
Stryzhavka,49.3103,28.4808,9137
Bilenke,48.7664,37.6314,9136
Horokhiv,50.4994,24.765,9134
Hurzuf,44.5528,34.2875,9117
Horodenka,48.6675,25.5003,9113
Velyki Luchky,48.42,22.5611,9028
Tiachiv,48.0114,23.5722,9019
Pomichna,48.25,31.4167,8994
Kozova,49.4318,25.1544,8989
Uspenka,48.3939,39.1536,8974
Chyhyryn,49.0833,32.6667,8962
Monastyryshche,48.99,29.8011,8925
Chop,48.4333,22.2,8897
Tlumach,48.8669,25.0012,8886
Ilarionove,48.4059,35.2734,8854
Kryzhopil,48.3842,28.8625,8788
Barvynkove,48.9067,37.0131,8660
Rava-Rus’ka,50.25,23.6167,8647
Solotvyno,47.9597,23.8669,8632
Busk,49.9667,24.6167,8624
Andrushivka,50.0167,29.0167,8606
